Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica frieseana
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica gayi
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica gayi
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica gazullai
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica gelida
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica gelida
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica giacomeli
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica gilva
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica gilva
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica grafi
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica herbsti
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica herbsti
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica labiatarum
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica lanosa
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica lanosa
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica lusor
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica marinonii
,,NCBI,Apidae,Apinae,Eucerini,,Alloscirtetica,,Alloscirtetica mephistophelica
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Alloscirtetica,,Alloscirtetica mielkei
